white,black
3.251400000000000000e+04,3.099000000000000000e+04
2.732100000000000000e+04,3.319500000000000000e+04
3.823900000000000000e+04,5.662500000000000000e+04
2.764900000000000000e+04,1.987500000000000000e+04
2.930799999999999636e+04,7.959200000000000000e+04
1.897699999999999636e+04,5.284700000000000000e+04
3.042100000000000000e+04,2.622300000000000000e+04
3.062600000000000000e+04,3.087800000000000000e+04
2.766100000000000000e+04,1.728300000000000000e+04
3.820100000000000000e+04,4.474300000000000000e+04
2.409200000000000000e+04,2.430800000000000000e+04
3.055300000000000000e+04,2.143100000000000000e+04
2.716400000000000000e+04,1.693600000000000000e+04
3.380400000000000000e+04,2.770000000000000000e+04
2.665500000000000000e+04,1.744500000000000000e+04
3.693400000000000000e+04,3.171000000000000000e+04
2.832900000000000000e+04,2.736700000000000000e+04
2.523200000000000000e+04,2.494400000000000000e+04
3.010200000000000000e+04,3.041400000000000000e+04
2.642100000000000000e+04,2.647900000000000000e+04
3.099300000000000000e+04,1.918300000000000000e+04
3.720100000000000000e+04,2.731500000000000000e+04
3.274500000000000000e+04,1.923900000000000000e+04
2.952800000000000000e+04,3.000800000000000000e+04
2.277999999999999636e+04,4.482000000000000000e+04
3.143100000000000000e+04,1.874500000000000000e+04
2.944900000000000000e+04,2.253500000000000000e+04
1.956499999999999636e+04,3.425900000000000000e+04
3.361300000000000000e+04,2.789100000000000000e+04
2.981400000000000000e+04,3.070200000000000000e+04
2.848499999999999636e+04,3.105100000000000364e+04
2.793200000000000000e+04,5.968400000000000000e+04
3.397200000000000000e+04,3.156400000000000000e+04
2.578000000000000000e+04,3.873600000000000000e+04
3.079800000000000000e+04,1.937800000000000000e+04
3.825200000000000000e+04,2.325200000000000000e+04
1.941600000000000000e+04,1.518000000000000000e+04
3.089200000000000000e+04,1.663200000000000000e+04
3.505900000000000000e+04,3.569700000000000000e+04
3.255000000000000000e+04,2.895400000000000000e+04
3.128099999999999636e+04,8.161500000000000000e+04
2.788000000000000000e+04,3.663600000000000000e+04
2.757500000000000000e+04,2.812100000000000000e+04
3.919100000000000000e+04,4.033300000000000000e+04
3.162499999999999636e+04,3.493900000000000000e+04
4.026600000000000000e+04,4.853800000000000000e+04
2.556500000000000000e+04,3.495100000000000000e+04
3.866600000000000000e+04,3.641000000000000000e+04
3.195200000000000000e+04,2.661200000000000000e+04
3.759800000000000000e+04,2.896600000000000000e+04
2.903100000000000000e+04,3.050500000000000000e+04
3.116800000000000000e+04,3.334800000000000000e+04
2.734400000000000000e+04,6.629200000000000000e+04
3.049200000000000000e+04,3.101200000000000000e+04
3.863300000000000000e+04,7.292300000000000000e+04
2.620500000000000000e+04,2.219500000000000000e+04
3.112100000000000000e+04,2.457500000000000000e+04
3.198700000000000000e+04,4.308900000000000000e+04
3.203700000000000000e+04,1.548700000000000000e+04
3.871100000000000000e+04,3.311300000000000000e+04
2.373399999999999636e+04,5.466600000000000000e+04
3.482800000000000000e+04,2.086800000000000000e+04
2.461399999999999636e+04,2.646200000000000364e+04
2.959100000000000000e+04,2.239300000000000000e+04
2.694100000000000000e+04,5.600300000000000000e+04
