Mean_R, SD_R, Mean_G, SD_G, Mean_B, SD_B, Mean_C, SD_C, Mean_M, SD_M, Mean_Y, SD_Y, Mean_K, SD_K
7.045889053987121997e+01,6.853035342343247294e+00,2.763579329701172327e+01,5.902775096572333347e+00,8.071301799570744606e+01,7.224579734577257994e+00,3.217210006323631433e+01,1.340211697075848463e+01,1.685080501078733732e+02,1.034245230362301271e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.742869820042925539e+02,7.224579734577254442e+00
6.559183733348982059e+01,6.703029910000488201e+00,2.629514113021536303e+01,6.295186225957207782e+00,7.421474678716037943e+01,7.214875981486117418e+00,2.928300900503184323e+01,1.477944853225402255e+01,1.655923431116492566e+02,1.238626086404541660e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.807852532128396206e+02,7.214875981486120082e+00
6.848576605349630597e+01,7.566998807363671808e+00,2.722246107545373661e+01,4.749023022217657264e+00,7.854193409698123673e+01,5.809184906008557192e+00,3.282804266546877159e+01,1.613325476559334248e+01,1.671262366982112724e+02,9.511552489067938154e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.764580659030187633e+02,5.809184906008554528e+00
7.158496603456868002e+01,7.542270355839221452e+00,3.211860361423663335e+01,8.792057628805784120e+00,8.443239698901041379e+01,7.941651748042854564e+00,3.859021040883457943e+01,1.437937903942154172e+01,1.593959380920963724e+02,1.592627972742728382e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.705676030109895862e+02,7.941651748042854564e+00
8.024968989199165037e+01,8.652259548585087501e+00,3.525428856684718681e+01,5.250819376397223515e+00,9.295492088463981872e+01,5.284066959424897902e+00,3.526094288920182862e+01,1.569444508623809575e+01,1.587466643230882823e+02,9.340686725722198602e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.620450791153601813e+02,5.284066959424896126e+00
6.986077533935765871e+01,7.442285333019992066e+00,2.920553143214802816e+01,5.551275029745283973e+00,8.438219301333958811e+01,5.143962659934170567e+00,4.412489412628170982e+01,1.545402775810337737e+01,1.673092125357656812e+02,1.137277795604874342e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.706178069866604119e+02,5.143962659934170567e+00
6.291261335531739718e+01,9.627964729551992562e+00,2.666642079229400863e+01,8.931755655048588594e+00,8.010166182149519898e+01,1.039546247432993376e+01,5.481382408657324845e+01,1.481807908326273093e+01,1.719278549575994930e+02,1.488971905641338545e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.748983381785047868e+02,1.039546247432993553e+01
5.622810157735764847e+01,4.988063099929701316e+00,2.159674833128239513e+01,3.155272706092923318e+00,6.713480255062087565e+01,6.312881277945949776e+00,4.064963429423936958e+01,1.725082923778266064e+01,1.731586843748057731e+02,6.150463388848373292e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.878651974493791386e+02,6.312881277945948888e+00
8.043984040291722692e+01,9.133165385514363521e+00,3.533211237204434951e+01,7.136868973359938195e+00,9.225689243549072671e+01,7.118452901766085361e+00,3.312082466936544023e+01,1.257662141331714345e+01,1.581835173912644734e+02,1.196944739180643680e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.627431075645092733e+02,7.118452901766085361e+00
6.769987009485527096e+01,9.045318536618562888e+00,2.819696561190225381e+01,6.657598320049880947e+00,8.293904262359372126e+01,6.438717248489573386e+00,4.704208935506924405e+01,2.098687143656223597e+01,1.691797482511907731e+02,1.294236734349324536e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.720609573764062930e+02,6.438717248489572498e+00
7.623035068906628453e+01,6.889930713745724411e+00,3.308014615354064603e+01,5.394534955821199240e+00,8.489991659716430661e+01,5.683127515231101157e+00,2.599803090514800985e+01,1.503127099757508489e+01,1.561804982445970609e+02,1.005841137843893129e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.701000834028357076e+02,5.683127515231100269e+00
6.082788804765477408e+01,8.816261398980405062e+00,2.793833981310961079e+01,1.132387731835520128e+01,7.733678921401450168e+01,1.063079721719128301e+01,5.390885960514066966e+01,1.790622819346332406e+01,1.656282940696665378e+02,2.139940624372881217e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.776632107859854841e+02,1.063079721719128656e+01
7.742815533980582643e+01,7.462998442590050630e+00,3.660206949412366129e+01,7.340574747120469645e+00,8.890917220235053264e+01,5.549821053381990943e+00,3.298503790833101590e+01,1.521297354858770845e+01,1.508388464346399758e+02,1.443442241153989691e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.660908277976494674e+02,5.549821053381992719e+00
8.217010408265160493e+01,8.296960855357795595e+00,3.676514191343088811e+01,6.699294631365733999e+00,9.017532741867343304e+01,6.277391121746195957e+00,2.284573310938555224e+01,1.446330675241164521e+01,1.517710383998245902e+02,1.177915916760620618e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.648246725813265812e+02,6.277391121746196845e+00
7.992475950526798556e+01,1.085237476585971095e+01,3.453741029164758203e+01,7.802059393522317698e+00,8.823450145060314753e+01,8.017460850222025925e+00,2.473240068420387772e+01,1.572368387588968019e+01,1.563067284509378680e+02,1.391955186523480315e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.667654985493968525e+02,8.017460850222024149e+00
5.788726066959033290e+01,7.741444148759950572e+00,2.336485185581345547e+01,4.742694731124335483e+00,7.171793774735266425e+01,6.609577302914083852e+00,4.926701575898380270e+01,1.827636799400124445e+01,1.724955210559728584e+02,9.582548044437528389e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832820622526473358e+02,6.609577302914086516e+00
9.559833164812941675e+01,1.039445422872519664e+01,5.179992416582406634e+01,1.264261555226362788e+01,1.057411526794742116e+02,1.202287527653058952e+01,2.389391832648379221e+01,1.383488950906588144e+01,1.317621105633531329e+02,1.732499864858651506e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.492588473205257742e+02,1.202287527653058952e+01
7.695613884037292962e+01,6.809602555109885103e+00,3.277419989668150890e+01,5.400763493484432409e+00,8.812194041966986902e+01,3.933903681233591687e+00,3.259296308464276848e+01,1.284065655387857419e+01,1.605598272717797670e+02,1.179849424217897003e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.668780595803301310e+02,3.933903681233597016e+00
7.026465517241379644e+01,1.168864909590826251e+01,2.965624256837098827e+01,8.572241081187721434e+00,8.177401902497027208e+01,8.891558496900291431e+00,3.641829115614918777e+01,2.445078608040076062e+01,1.640388945607072060e+02,1.542585478819795952e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.732259809750297279e+02,8.891558496900291431e+00
7.674831321252229088e+01,1.046218285313362806e+01,3.360450327017036187e+01,7.572295945590602706e+00,8.588007651940128540e+01,7.025762518017655722e+00,2.793117905311939708e+01,1.792117408530787159e+01,1.561257728233507009e+02,1.603970725535961961e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.691199234805987146e+02,7.025762518017659275e+00
8.156208375148253253e+01,1.002745979823458811e+01,3.571085363257610368e+01,6.019726506124960963e+00,9.333664811604781164e+01,5.923216240275135824e+00,3.289941205136862123e+01,1.628001649282274244e+01,1.580188742568443274e+02,1.083631874287762820e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.616633518839522026e+02,5.923216240275134048e+00
8.281712915381980622e+01,6.525649278587442481e+00,3.641342925659472485e+01,5.129066408659610055e+00,9.223199725933538673e+01,4.641077426265808548e+00,2.609946288137114578e+01,1.294252134524243836e+01,1.546974757001420357e+02,9.874995040322254169e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.627680027406645991e+02,4.641077426265806771e+00
7.820387994143484889e+01,8.397448692078945953e+00,3.407225475841874385e+01,6.467859973130484441e+00,9.041050512445094967e+01,5.735000759602256082e+00,3.473547812242452437e+01,1.545959829370560001e+01,1.595671036857809497e+02,1.222453981157395830e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.645894948755490361e+02,5.735000759602258746e+00
