Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
2.990353893698402388e+01,1.155582773020748633e+00,3.231481141917153309e+03,2.796408199708539541e+03,1.770000000000000000e+02,1.881500000000000000e+04,2.403000000000000000e+04,3.206393320729696850e-01,5.422430517764238386e-04,2.209723000439583725e-04,2.177090319020012624e-04,4.308416471849901602e-08,-5.021071263506082417e-06,2.058942642603339571e-08
1.862704910083755605e+00,1.852645666761719268e+00,1.665641019389790927e+03,3.085842616953068955e+03,3.300000000000000000e+01,2.706900000000000000e+04,7.331000000000000000e+03,1.765031065956413625e-01,2.791455744897653087e-03,2.566381798254741779e-04,6.549157275454017997e-05,-7.489600698002724106e-09,3.132417375216965684e-06,-3.999537036164090604e-09
1.114693913567358141e+00,3.154764509137869322e+00,1.618360061968093305e+03,5.105544886503103953e+03,1.100000000000000000e+01,3.578500000000000000e+04,2.082500000000000000e+04,1.917498029378438829e-01,1.020221445289823739e-02,5.512420457946387705e-04,9.753235514909876962e-04,7.150297802726664309e-07,9.395141081867276333e-05,-1.284861352826862512e-08
1.211723108794523718e+00,1.040553018169773081e+00,1.612831007402029854e+03,1.549974849180521005e+03,1.400000000000000000e+01,1.943500000000000000e+04,6.003000000000000000e+03,1.634646983685002497e-01,1.227133546729184240e-05,1.738759100763522078e-05,8.752617718058361548e-05,-1.745182651605661982e-09,1.292043881298615606e-07,2.934812195502595435e-09
4.177911129148572655e+00,1.680986098634494219e+00,2.203930810974894484e+03,3.704777055601044594e+03,8.700000000000000000e+01,3.263700000000000000e+04,1.810300000000000000e+04,1.817233624308446371e-01,2.175976278426773429e-03,1.536243254589176200e-04,8.842378385113839278e-05,6.694582991222659941e-09,3.384744125077413141e-06,7.835369487161078920e-09
3.568763048300553464e+00,1.391920494789502749e+00,1.598426913652338953e+03,2.224883180535821339e+03,4.700000000000000000e+01,2.132800000000000000e+04,9.197000000000000000e+03,1.956806065448987164e-01,7.791054230949952253e-04,2.277315892203881438e-04,2.415673613837434567e-03,-2.225528583352271413e-07,2.309762147190564784e-05,-1.777839765025693141e-06
1.993498540212963244e+00,1.196774626903901240e+00,3.316396750239709945e+03,3.968979483433439327e+03,3.600000000000000000e+01,4.359200000000000000e+04,1.540800000000000000e+04,1.672421695763454397e-01,2.226573155888741723e-04,4.118345754108473347e-05,1.374686762619505446e-05,-2.435976276091534560e-10,-5.882339630834085484e-09,-2.182840958395109157e-10
1.894462184388536530e+00,1.526742233385982583e+00,2.490562056296692845e+03,3.802446276216798196e+03,3.500000000000000000e+01,3.727400000000000000e+04,1.280200000000000000e+04,1.689757464970313150e-01,1.247297107059469655e-03,5.348420195423950999e-05,2.004067129708300986e-05,5.615027953890391891e-10,7.076887284379753237e-07,-3.394169478833680749e-10
2.616186651565703958e+00,1.204748238532842519e+00,2.354040885530719152e+03,2.836026610277426698e+03,5.400000000000000000e+01,2.999300000000000000e+04,1.408200000000000000e+04,1.817001319136261617e-01,6.581793963354695177e-05,1.197879187675092400e-04,9.424186733130445219e-04,-1.350972987254236902e-07,-6.815745053450257810e-06,2.863784855620724399e-07
6.113942042507606978e+00,1.162880426443561932e+00,3.774840117981407275e+03,3.246112009577806475e+03,1.060000000000000000e+02,3.846100000000000000e+04,1.793900000000000000e+04,1.838346450541201993e-01,1.577201578790259073e-04,1.140693938792993020e-04,1.604204039756083487e-04,-2.135938258322434944e-08,-1.019213935435151490e-06,3.833752724217490409e-09
2.496253190738794814e+00,1.302976907020941599e+00,2.455883236292796482e+03,1.884824836925007048e+03,3.300000000000000000e+01,2.446300000000000000e+04,1.236500000000000000e+04,1.775769618534228100e-01,5.410568265236601060e-04,7.281333947689412806e-05,2.153791693978625982e-05,-6.753704237317148273e-10,-2.085204625777347023e-07,-5.209188427634315473e-10
8.948370127955016073e+00,1.112363514654401975e+00,2.975721792457927222e+03,3.310084351692196833e+03,9.900000000000000000e+01,2.936000000000000000e+04,1.772500000000000000e+04,2.146732924576771340e-01,1.400741839899365278e-04,4.996075331159844320e-06,3.721813213836995668e-05,-1.735396306719397324e-10,4.120987912188482195e-07,4.769197697095461285e-10
2.442824383837120195e+00,1.483090402891681148e+00,3.241367568922472401e+03,2.185549554229843125e+03,3.800000000000000000e+01,3.128600000000000000e+04,1.233000000000000000e+04,1.739685759913575103e-01,1.146554625860256565e-03,5.676153845248934997e-05,9.791297283255537807e-05,7.233826704903680333e-09,1.526116296951875212e-06,9.762469231414857054e-10
3.860828210084741752e+00,1.400979458000010336e+00,2.005578304579387805e+03,2.809774006126210224e+03,4.400000000000000000e+01,2.530400000000000000e+04,1.291000000000000000e+04,1.903891773718993652e-01,1.004151874278521326e-03,2.792169810031766325e-04,1.383100138561769164e-05,6.128674694486127507e-10,-4.077012218215133930e-07,-6.026212104732949067e-10
2.830794082746180607e+00,1.138766081035119004e+00,3.442303228431774187e+03,3.919978157175789420e+03,6.700000000000000000e+01,4.392400000000000000e+04,1.651100000000000000e+04,1.677329111134673867e-01,1.204282122948911862e-04,6.223638529741524822e-05,1.766352091400024543e-05,-5.558506872068950749e-10,1.384188957036782919e-07,-1.844338744707184273e-10
7.739264373067685554e+00,1.316426009812128539e+00,3.290842016231863454e+03,4.332150024350212334e+03,1.530000000000000000e+02,4.104700000000000000e+04,2.117300000000000000e+04,1.863712628920317638e-01,6.748891595690254420e-04,1.035702390681020587e-05,8.142652895138089472e-05,1.146859866347988029e-09,1.132699473168471749e-06,2.067914238947145506e-09
1.923668803903372471e+00,1.147919433411211720e+00,2.805004034280268570e+03,3.219918641747168749e+03,3.500000000000000000e+01,3.601000000000000000e+04,1.848200000000000000e+04,1.673280900662406090e-01,1.331410134128989972e-04,2.636759309823361838e-05,1.006563760091866975e-05,-6.454168456454423502e-11,9.241077981117789550e-08,-1.507467782571027117e-10
1.238611827671327603e+01,1.441092986614245008e+00,2.093253933520907140e+03,3.016573562799660522e+03,1.370000000000000000e+02,2.338900000000000000e+04,1.720700000000000000e+04,2.184688154410746042e-01,1.557757777299701709e-03,4.854301508504960680e-04,9.297853776365992335e-06,4.045055247538120787e-10,1.611187147028631186e-09,-4.759875586771704018e-10
