Mean_P, SD_P
1.990509033203125000e-01,5.095664247722140061e+01
1.613922119140625000e-01,4.131609102963364677e+01
2.127380371093750000e-01,5.446052199443624886e+01
2.156219482421875000e-01,5.519879761177579525e+01
2.118377685546875000e-01,5.423005500277995594e+01
1.274414062500000000e-01,3.262475109005389839e+01
1.518859863281250000e-01,3.888251584655129989e+01
1.806640625000000000e-01,4.624964713915687042e+01
1.909332275390625000e-01,4.887853333211742068e+01
1.731567382812500000e-01,4.432778680195540488e+01
1.706542968750000000e-01,4.368716668955493532e+01
1.686248779296875000e-01,4.316763940327893323e+01
1.853942871093750000e-01,4.746057540040170153e+01
1.976165771484375000e-01,5.058945777865037741e+01
1.883850097656250000e-01,4.822619455912418829e+01
1.973571777343750000e-01,5.052305203529177646e+01
1.969757080078125000e-01,5.042539653035271385e+01
1.915130615234375000e-01,4.902696969962478590e+01
1.974945068359375000e-01,5.055820801706988732e+01
1.832427978515625000e-01,4.690979835254515251e+01
1.956329345703125000e-01,5.008164915296704578e+01
2.167358398437500000e-01,5.548395168619797602e+01
1.742095947265625000e-01,4.459731599558733706e+01
1.983795166015625000e-01,5.078476878852860921e+01
1.592864990234375000e-01,4.077703264236981795e+01
1.727294921875000000e-01,4.421841263642362918e+01
1.980590820312500000e-01,5.070273816437973124e+01
1.928100585937500000e-01,4.935899841641774088e+01
1.926574707031250000e-01,4.931993621444214426e+01
2.048187255859375000e-01,5.243319371190053602e+01
2.073822021484375000e-01,5.308943870509128971e+01
2.085113525390625000e-01,5.337849899971106282e+01
1.387329101562500000e-01,3.551535403625118903e+01
2.250213623046875000e-01,5.760502925347521597e+01
1.864166259765625000e-01,4.772229215363843480e+01
1.674804687500000000e-01,4.287467288846163882e+01
1.702117919921875000e-01,4.357388630382558858e+01
2.019805908203125000e-01,5.170663675515367430e+01
1.774291992187500000e-01,4.542152845727330401e+01
1.783752441406250000e-01,4.566371410952229581e+01
2.241210937500000000e-01,5.737456226181892305e+01
1.589965820312500000e-01,4.070281445861608205e+01
1.592254638671875000e-01,4.076140776157954804e+01
1.698760986328125000e-01,4.348794945947916801e+01
1.940917968750000000e-01,4.968712091301311773e+01
2.046051025390625000e-01,5.237850662913469790e+01
2.059783935546875000e-01,5.273006644691540856e+01
1.926116943359375000e-01,4.930821755384943117e+01
1.795806884765625000e-01,4.597230550512979619e+01
2.103118896484375000e-01,5.383943298302356339e+01
1.961059570312500000e-01,5.020274197909154879e+01
1.958160400390625000e-01,5.012852379533787683e+01
2.085113525390625000e-01,5.337849899971106282e+01
2.033691406250000000e-01,5.206210279313198441e+01
1.963043212890625000e-01,5.025352284165988692e+01
2.100677490234375000e-01,5.377693345986251927e+01
1.817016601562500000e-01,4.651527011259120314e+01
1.698150634765625000e-01,4.347232457868892652e+01
1.639251708984375000e-01,4.196452358242922998e+01
2.076721191406250000e-01,5.316365688884502561e+01
1.849365234375000000e-01,4.734338879447472692e+01
1.925659179687500000e-01,4.929649889325671808e+01
1.602172851562500000e-01,4.101531207442119609e+01
2.380981445312500000e-01,6.095265996278747167e+01
1.995086669921875000e-01,5.107382908314832548e+01
1.859283447265625000e-01,4.759729310731642471e+01
1.899719238281250000e-01,4.863244145967085785e+01
1.781158447265625000e-01,4.559730836616369487e+01
1.892089843750000000e-01,4.843713044979266158e+01
1.743316650390625000e-01,4.462856575716783425e+01
2.097778320312500000e-01,5.370271527610882600e+01
1.809082031250000000e-01,4.631214666231789323e+01
1.833038330078125000e-01,4.692542323333544374e+01
1.634826660156250000e-01,4.185124319669990456e+01
1.928100585937500000e-01,4.935899841641774088e+01
1.485748291015625000e-01,3.803486606367992096e+01
1.717224121093750000e-01,4.396060210338442431e+01
2.113189697265625000e-01,5.409724351606279669e+01
1.322479248046875000e-01,3.385521045228651360e+01
2.196655273437500000e-01,5.623394596413024971e+01
1.707611083984375000e-01,4.371451023093786858e+01
1.875915527343750000e-01,4.802307110885086416e+01
1.854858398437500000e-01,4.748401272158705666e+01
1.603851318359375000e-01,4.105828049659442769e+01
1.736602783203125000e-01,4.445669206847502863e+01
2.117462158203125000e-01,5.420661768159458660e+01
2.015991210937500000e-01,5.160898125021456195e+01
2.009735107421875000e-01,5.144882622211442680e+01
2.071228027343750000e-01,5.302303296173268876e+01
2.230224609375000000e-01,5.709331440759429199e+01
1.809997558593750000e-01,4.633558398350329099e+01
2.286071777343750000e-01,5.852299099990269582e+01
2.045898437500000000e-01,5.237460040893709845e+01
1.801910400390625000e-01,4.612855431303241716e+01
2.058105468750000000e-01,5.268709802474221249e+01
1.609191894531250000e-01,4.119499820350914376e+01
1.839294433593750000e-01,4.708557826143556468e+01
2.005004882812500000e-01,5.132773339598995932e+01
1.846313476562500000e-01,4.726526439052347683e+01
1.682891845703125000e-01,4.308170255893252687e+01
1.856231689453125000e-01,4.751916870336512488e+01
1.826324462890625000e-01,4.675354954464260970e+01
2.273559570312500000e-01,5.820268094370246814e+01
1.558990478515625000e-01,3.990985175851060518e+01
2.086181640625000000e-01,5.340584254109394635e+01
2.203826904296875000e-01,5.641753831341573289e+01
1.543273925781250000e-01,3.950751107816152796e+01
1.798400878906250000e-01,4.603871124848843266e+01
2.105407714843750000e-01,5.389802628598700807e+01
1.566772460937500000e-01,4.010906898858636538e+01
1.577453613281250000e-01,4.038250440241584727e+01
1.827697753906250000e-01,4.678870552642070635e+01
2.310333251953125000e-01,5.914408001131540260e+01
