white,black
9.313000000000000000e+03,7.071000000000000000e+03
1.443900000000000000e+04,8.061000000000000000e+03
1.426300000000000000e+04,6.473000000000000000e+03
1.384500000000000000e+04,9.871000000000000000e+03
9.016000000000000000e+03,5.868000000000000000e+03
8.328000000000000000e+03,7.548000000000000000e+03
1.027300000000000000e+04,6.111000000000000000e+03
1.022900000000000000e+04,7.195000000000000000e+03
1.017200000000000000e+04,7.784000000000000000e+03
1.364099999999999636e+04,2.399500000000000364e+04
1.007900000000000000e+04,6.305000000000000000e+03
7.829999999999999091e+03,3.406000000000000909e+03
1.411600000000000000e+04,1.084800000000000000e+04
1.167700000000000000e+04,1.082300000000000000e+04
7.900999999999999091e+03,1.459900000000000000e+04
1.490700000000000000e+04,1.069300000000000000e+04
1.177800000000000000e+04,8.958000000000000000e+03
1.769100000000000000e+04,6.645000000000000000e+03
8.236999999999998181e+03,4.307000000000001819e+03
1.248100000000000000e+04,1.185500000000000000e+04
7.665000000000000000e+03,4.435000000000000000e+03
1.285000000000000000e+04,5.106000000000000000e+03
9.594000000000000000e+03,4.806000000000000000e+03
9.090000000000000000e+03,1.051000000000000000e+04
9.550000000000000000e+03,8.946000000000000000e+03
1.363800000000000000e+04,1.196200000000000000e+04
1.343300000000000000e+04,1.090300000000000000e+04
1.739800000000000000e+04,7.566000000000000000e+03
1.470400000000000000e+04,6.612000000000000000e+03
1.294000000000000000e+04,7.796000000000000000e+03
1.083500000000000000e+04,6.589000000000000000e+03
9.433000000000000000e+03,4.967000000000000000e+03
6.213999999999999091e+03,3.002000000000000909e+03
1.024400000000000000e+04,4.640000000000000000e+03
1.683800000000000000e+04,4.566200000000000000e+04
8.499000000000000000e+03,4.045000000000000000e+03
9.172999999999998181e+03,4.283000000000001819e+03
9.798000000000000000e+03,4.602000000000000000e+03
1.837300000000000000e+04,1.121100000000000000e+04
8.301000000000000000e+03,4.695000000000000000e+03
1.136000000000000000e+04,1.235600000000000000e+04
1.037899999999999818e+04,3.288500000000000000e+04
8.996000000000000000e+03,7.904000000000000000e+03
7.344000000000000000e+03,4.320000000000000000e+03
8.882000000000000000e+03,6.994000000000000000e+03
7.691999999999999091e+03,7.684000000000000909e+03
1.002000000000000000e+04,5.856000000000000000e+03
1.149200000000000000e+04,5.932000000000000000e+03
1.202099999999999818e+04,2.639500000000000000e+04
1.357300000000000000e+04,1.076300000000000000e+04
7.927000000000000000e+03,3.737000000000000000e+03
1.201700000000000000e+04,9.887000000000000000e+03
1.298100000000000000e+04,6.619000000000000000e+03
1.167900000000000000e+04,7.365000000000000000e+03
1.212000000000000000e+04,5.304000000000000000e+03
1.332799999999999818e+04,3.246800000000000000e+04
1.029300000000000000e+04,4.591000000000000000e+03
1.239399999999999636e+04,1.132200000000000364e+04
1.037100000000000000e+04,1.718500000000000000e+04
8.588000000000000000e+03,9.368000000000000000e+03
9.017999999999998181e+03,5.382000000000001819e+03
1.007000000000000000e+04,7.354000000000000000e+03
1.119900000000000000e+04,8.401000000000000000e+03
8.000999999999999091e+03,4.995000000000000909e+03
6.266999999999999091e+03,1.997700000000000000e+04
1.631999999999999636e+04,1.536400000000000364e+04
1.342700000000000000e+04,9.073000000000000000e+03
6.888000000000000000e+03,4.776000000000000000e+03
7.672000000000000000e+03,3.992000000000000000e+03
8.938000000000000000e+03,1.010600000000000000e+04
9.922999999999998181e+03,8.573000000000001819e+03
7.960999999999999091e+03,4.583000000000000909e+03
9.768999999999998181e+03,5.607000000000001819e+03
6.237000000000000000e+03,4.167000000000000000e+03
1.278800000000000000e+04,1.748800000000000000e+04
1.362600000000000000e+04,6.538000000000000000e+03
8.647999999999998181e+03,3.896000000000001819e+03
1.779700000000000000e+04,1.605900000000000000e+04
1.359600000000000000e+04,1.012000000000000000e+04
9.737000000000000000e+03,6.139000000000000000e+03
9.490999999999998181e+03,4.433000000000001819e+03
1.315299999999999636e+04,4.067100000000000000e+04
8.668000000000000000e+03,4.788000000000000000e+03
8.513000000000000000e+03,5.411000000000000000e+03
1.566900000000000000e+04,1.057500000000000000e+04
1.617800000000000000e+04,1.622200000000000000e+04
8.227999999999998181e+03,3.872000000000001819e+03
1.077200000000000000e+04,1.233200000000000000e+04
1.349000000000000000e+04,7.246000000000000000e+03
7.274999999999998181e+03,5.721000000000001819e+03
8.786000000000000000e+03,5.138000000000000000e+03
1.471000000000000000e+04,1.769000000000000000e+04
8.044999999999999091e+03,5.411000000000000909e+03
1.326800000000000000e+04,2.834800000000000000e+04
1.367100000000000000e+04,1.066500000000000000e+04
1.312000000000000000e+04,1.443600000000000000e+04
1.162300000000000000e+04,1.334100000000000000e+04
1.557799999999999818e+04,1.332200000000000182e+04
1.543300000000000000e+04,1.842300000000000000e+04
7.442000000000000000e+03,3.374000000000000000e+03
9.116999999999996362e+03,7.783000000000003638e+03
1.059900000000000000e+04,1.130500000000000000e+04
1.574899999999999636e+04,5.185100000000000000e+04
9.276000000000000000e+03,4.648000000000000000e+03
1.039899999999999818e+04,4.977000000000001819e+03
2.047400000000000000e+04,1.412200000000000000e+04
1.658500000000000000e+04,7.751000000000000000e+03
8.671000000000000000e+03,6.705000000000000000e+03
1.380200000000000000e+04,1.053400000000000000e+04
1.903100000000000000e+04,2.849300000000000000e+04
1.853000000000000000e+04,1.174600000000000000e+04
1.155900000000000000e+04,1.871700000000000000e+04
9.484000000000000000e+03,9.012000000000000000e+03
1.408299999999999818e+04,1.347300000000000182e+04
1.213800000000000000e+04,1.954600000000000000e+04
1.458400000000000000e+04,1.038000000000000000e+04
2.104900000000000000e+04,1.429500000000000000e+04
8.942000000000000000e+03,5.942000000000000000e+03
1.014899999999999636e+04,3.564700000000000000e+04
7.761999999999998181e+03,4.782000000000001819e+03
1.430300000000000000e+04,1.194100000000000000e+04
1.202499999999999818e+04,7.575000000000001819e+03
1.168600000000000000e+04,9.050000000000000000e+03
1.029300000000000000e+04,4.591000000000000000e+03
7.714000000000000000e+03,3.950000000000000000e+03
1.191099999999999818e+04,3.135300000000000000e+04
1.049600000000000000e+04,1.840400000000000000e+04
1.549600000000000000e+04,2.214000000000000000e+04
1.179499999999999818e+04,5.629000000000001819e+03
8.890000000000000000e+03,4.106000000000000000e+03
