Mean_R, SD_R, Mean_G, SD_G, Mean_B, SD_B, Mean_C, SD_C, Mean_M, SD_M, Mean_Y, SD_Y, Mean_K, SD_K
1.149157493028034622e+02,1.584680828308559697e+01,7.486555115220900802e+01,1.859857305918581005e+01,1.496796565389696241e+02,5.280733995695055860e+00,5.952988106085388864e+01,2.440786510016351940e+01,1.278458104820071952e+02,2.937862432544406488e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.053203434610303901e+02,5.280733995695055860e+00
5.805652556211531135e+01,1.653877366158075901e+01,2.268584348699912212e+01,2.266170186428256983e+01,1.059061675668885840e+02,1.390182576497081257e+01,1.166244660305224983e+02,2.469895932389093929e+01,2.048308980633003955e+02,3.947719410709428445e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.490938324331114302e+02,1.390182576497081257e+01
1.257014148522835626e+02,1.442045862854736349e+01,8.802646433545928062e+01,1.246721805437420194e+01,1.449956748039000161e+02,3.720424951798572355e+00,3.386368665456936355e+01,2.553102126909572078e+01,1.001597567356236880e+02,2.163948902675840813e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.100043251960999982e+02,3.720424951798571467e+00
9.046820682068207020e+01,2.465885906176221098e+01,3.623454345434543455e+01,3.465521826917867543e+01,1.363755775577557756e+02,1.571219344669136220e+01,8.818678500908245610e+01,2.709205488515091176e+01,1.921151689996420657e+02,4.758660913695793937e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.186244224422442244e+02,1.571219344669136220e+01
4.996501161440185967e+01,1.563018354343579475e+01,2.159001161440185967e+01,2.397651227035057531e+01,1.037772938443670085e+02,1.713832485897403757e+01,1.335376531463751633e+02,2.257583713076273568e+01,2.079948254992316663e+02,4.092703985726831917e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.512227061556329772e+02,1.713832485897403757e+01
7.496105424167549813e+01,1.680387378002643572e+01,2.783751029532886179e+01,2.524011668008798637e+01,1.174367572655606580e+02,1.260115562465842487e+01,9.352207519340385034e+01,2.234618146794353777e+01,1.982590336961528692e+02,4.140016084245536376e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.375632427344393420e+02,1.260115562465842487e+01
1.150355642023346263e+02,1.441335509957424144e+01,7.267167315175096576e+01,1.696264559110961301e+01,1.411078599221789887e+02,4.486837699392467016e+00,4.735089931655640783e+01,2.367045730118369917e+01,1.240107216959126362e+02,2.873797859824809109e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.138921400778210113e+02,4.486837699392467016e+00
7.940161592275100588e+01,2.353165932086028178e+01,3.534397477583998182e+01,3.762646581271457791e+01,1.157267711104542371e+02,1.682837309216448318e+01,8.279173167476697870e+01,2.678316845676415170e+01,1.849283213472857881e+02,5.893901234112258436e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.392732288895457771e+02,1.682837309216448318e+01
7.421986703921379558e+01,1.487172975908383776e+01,3.046854224877155914e+01,2.523272634416344218e+01,1.119809230176317527e+02,1.001272060551119303e+01,8.692620598661696363e+01,2.301939826193633820e+01,1.888480509371803748e+02,4.776724693603444649e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.430190769823682331e+02,1.001272060551119303e+01
8.258185567010309569e+01,1.312105940817716920e+01,4.945195876288659775e+01,1.712545164663963959e+01,1.265131271477663262e+02,7.523849789203670646e+00,8.906064279601005751e+01,2.078183375465763660e+01,1.565336761613017131e+02,2.886335109059050552e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.284868728522336880e+02,7.523849789203670646e+00
