Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
9.626619770840914025e-01,1.153343834249967781e+00,1.017236084625760896e+03,1.173222966179699824e+03,3.000000000000000000e+00,1.362600000000000000e+04,3.773000000000000000e+03,1.607498934808388458e-01,1.310355200817073500e-04,9.839904808309455107e-06,1.265115140034717592e-06,6.154207345301173037e-13,2.993985745436119176e-10,-4.421025314988565113e-12
1.088555037225688027e+00,1.049090505476211632e+00,6.194849970839798061e+02,6.498958287257619304e+02,1.900000000000000000e+01,7.961000000000000000e+03,2.339000000000000000e+03,1.596354404717741371e-01,1.420559074161091930e-05,4.949808441743164731e-06,2.083938620879031886e-05,1.349055446849264228e-10,-1.691076057240511064e-08,-1.630855572368880775e-10
1.171341762076983528e+01,1.432123844592850803e+00,1.208588113102746775e+03,1.730847855065924932e+03,1.010000000000000000e+02,1.364100000000000000e+04,1.661900000000000000e+04,2.180494720839921963e-01,1.638832261936287553e-03,6.368233537903445797e-04,5.221829345918827751e-04,1.401809545373579614e-07,1.083475068695121298e-05,-2.665036271722418062e-07
1.611168035290182265e+00,1.723142999537040865e+00,5.609667045652244042e+02,9.666258499449297688e+02,2.600000000000000000e+01,9.090000000000000000e+03,4.220000000000000000e+03,1.690705794595865619e-01,2.084607920281174656e-03,4.989581324981465444e-05,1.774769546243235799e-04,1.669560347417055456e-08,8.103145065380099968e-06,-4.283382785317523253e-10
1.067687516026466499e+00,1.195806082951509142e+00,5.079688042313496226e+02,6.074321860494521843e+02,2.300000000000000000e+01,6.888000000000000000e+03,3.206000000000000000e+03,1.748181335102067524e-01,3.636807701385561323e-04,7.556999801838869670e-05,1.457418162793430684e-03,4.834244960499993234e-07,1.906130362756822323e-05,1.547214453023663032e-08
1.001193017406358132e+00,1.032171306090908569e+00,6.677047895147921963e+02,6.891857246766381877e+02,2.100000000000000000e+01,8.499000000000000000e+03,3.055000000000000000e+03,1.937901789274606434e-01,1.300163366841938567e-03,1.127043832073260706e-04,4.313485659212516754e-03,2.896316999722132066e-06,1.554257687597934505e-04,-8.103754541817694667e-07
1.082030672248572856e+00,1.086180265970915215e+00,9.900705973943978506e+02,1.075395144807830093e+03,9.000000000000000000e+00,1.285000000000000000e+04,3.787000000000000000e+03,1.981475410239290635e-01,1.879316286344684742e-03,1.004715742807860054e-04,4.949202114403681609e-03,3.432447433222525256e-06,2.140037287686111223e-04,-6.311468600397433437e-07
2.841579859901233629e+00,1.407914162780083966e+00,7.252645180192877206e+02,1.021110186681226537e+03,4.900000000000000000e+01,1.014900000000000000e+04,8.296000000000000000e+03,1.817162774667755443e-01,4.820072050118100540e-04,1.647622668008521282e-04,1.241651052985108788e-03,-5.352766031952414370e-07,-2.237284341082469249e-06,-1.699268885505693255e-07
2.194533364798041397e+00,1.396681787855211798e+00,1.023051122275153716e+03,7.324869065889253079e+02,4.100000000000000000e+01,1.037900000000000000e+04,7.947000000000000000e+03,1.695576802368893854e-01,7.621176350201140561e-04,1.578403015327418295e-04,6.432968649784010136e-05,-5.367263251293785477e-09,-1.451186954373200892e-07,-3.634847111235846573e-09
8.698720064907137228e-01,1.515585490755334996e+00,4.712940626694336288e+02,7.142864432609291043e+02,4.000000000000000000e+00,7.275000000000000000e+03,2.826000000000000000e+03,1.702049755379101970e-01,1.269927225095253322e-03,5.279371014910009575e-05,8.378544147866176690e-04,8.271740325522073303e-08,1.704415117817965647e-05,-1.555946951900728600e-07
