Mean_P, SD_P
5.653381347656250000e-02,1.447254583197433853e+01
7.530212402343750000e-02,1.927719667497796507e+01
6.208801269531250000e-02,1.589440998388760740e+01
8.238220214843750000e-02,2.108968284664762649e+01
7.849121093750000000e-02,2.009359669626882905e+01
7.397460937500000000e-02,1.893735551778990711e+01
6.950378417968750000e-02,1.779283299990368761e+01
7.530212402343750000e-02,1.927719667497796507e+01
6.619262695312500000e-02,1.694518321703229802e+01
6.846618652343750000e-02,1.752721002646932646e+01
7.550048828125000000e-02,1.932797753754629966e+01
7.221984863281250000e-02,1.848814019507006634e+01
6.146240234375000000e-02,1.573425495578748823e+01
6.396484375000000000e-02,1.637487506818797200e+01
5.882263183593750000e-02,1.505847886160892735e+01
7.153320312500000000e-02,1.831236028617967904e+01
7.824707031250000000e-02,2.003109717310780624e+01
5.471801757812500000e-02,1.400770562846422607e+01
7.334899902343750000e-02,1.877720048968978261e+01
7.122802734375000000e-02,1.823423588222840053e+01
6.555175781250000000e-02,1.677721614367236924e+01
7.298278808593750000e-02,1.868345120494824840e+01
6.129455566406250000e-02,1.569128653361428327e+01
8.213806152343750000e-02,2.102718332348660368e+01
6.152343750000000000e-02,1.574987983657774393e+01
5.369567871093750000e-02,1.374598887522744839e+01
6.541442871093750000e-02,1.674596598695654137e+01
5.892944335937500000e-02,1.508582240299186950e+01
5.191040039062500000e-02,1.328896111211246378e+01
5.754089355468750000e-02,1.473035636501355761e+01
8.085632324218750000e-02,2.069906082689124460e+01
6.022644042968750000e-02,1.541785111978480849e+01
4.566955566406250000e-02,1.169131705130882359e+01
5.625915527343750000e-02,1.440223386841818787e+01
7.423400878906250000e-02,1.900376126114849029e+01
5.776977539062500000e-02,1.478894966797701116e+01
5.601501464843750000e-02,1.433973434525716506e+01
6.393432617187500000e-02,1.636706262779283705e+01
7.810974121093750000e-02,1.998812939509366871e+01
5.014038085937500000e-02,1.283583956919504665e+01
6.260681152343750000e-02,1.602722147060477909e+01
7.595825195312500000e-02,1.944516414347321032e+01
6.861877441406250000e-02,1.756627222844496572e+01
5.949401855468750000e-02,1.523035255030174007e+01
4.907226562500000000e-02,1.256240415536558075e+01
6.869506835937500000e-02,1.758580332943278179e+01
6.002807617187500000e-02,1.536707025721647213e+01
6.912231445312500000e-02,1.769127164640723393e+01
5.099487304687500000e-02,1.305458790025862648e+01
5.566406250000000000e-02,1.424989128071319655e+01
6.137084960937500000e-02,1.571081763460209757e+01
5.358886718750000000e-02,1.371473961032496902e+01
6.260681152343750000e-02,1.602722147060477909e+01
7.752990722656250000e-02,1.984750482382229819e+01
6.375122070312500000e-02,1.632018798542206994e+01
4.565429687500000000e-02,1.168741083111126322e+01
6.874084472656250000e-02,1.759752199002547712e+01
7.385253906250000000e-02,1.890610575620939571e+01
6.494140625000000000e-02,1.662487316083206323e+01
4.443359375000000000e-02,1.137491321530614918e+01
7.031250000000000000e-02,1.799986267037456500e+01
6.770324707031250000e-02,1.733189901659114440e+01
6.687927246093750000e-02,1.712096312592267822e+01
7.644653320312500000e-02,1.957016318979525593e+01
7.060241699218750000e-02,1.807408085412829024e+01
6.896972656250000000e-02,1.765611529298893956e+01
7.424926757812500000e-02,1.900766748134605066e+01
6.056213378906250000e-02,1.550378796413121485e+01
8.122253417968750000e-02,2.079281011163277881e+01
6.838989257812500000e-02,1.750767892548150328e+01
7.031250000000000000e-02,1.799986267037456500e+01
6.991577148437500000e-02,1.789830094523789583e+01
8.195495605468750000e-02,2.098030868111584724e+01
6.921386718750000000e-02,1.771861481614996237e+01
6.298828125000000000e-02,1.612487697554388077e+01
6.652832031250000000e-02,1.703112006137871148e+01
5.845642089843750000e-02,1.496472957686739313e+01
6.578063964843750000e-02,1.683971527169807558e+01
6.494140625000000000e-02,1.662487316083206323e+01
4.705810546875000000e-02,1.204678308928714259e+01
8.360290527343750000e-02,2.140218046245274053e+01
4.505920410156250000e-02,1.153506824340626657e+01
5.825805664062500000e-02,1.491004294618360149e+01
5.473327636718750000e-02,1.401161184866179532e+01
7.566833496093750000e-02,1.937094595971949929e+01
6.781005859375000000e-02,1.735924255797408122e+01
4.806518554687500000e-02,1.230459362232635279e+01
6.594848632812500000e-02,1.688268369387127521e+01
6.599426269531250000e-02,1.689440235446398475e+01
7.801818847656250000e-02,1.997250387014434381e+01
5.809020996093750000e-02,1.487098029212585892e+01
6.907653808593750000e-02,1.768345883437188348e+01
6.481933593750000000e-02,1.659362339925155183e+01
5.920410156250000000e-02,1.515613436654802726e+01
7.106018066406250000e-02,1.819126746005519379e+01
5.908203125000000000e-02,1.512488460496751586e+01
5.682373046875000000e-02,1.454676401572805489e+01
6.643676757812500000e-02,1.700768274019332083e+01
6.256103515625000000e-02,1.601550281001209086e+01
6.143188476562500000e-02,1.572644251539235327e+01
7.748413085937500000e-02,1.983578616322960286e+01
7.208251953125000000e-02,1.845298421329198035e+01
7.919311523437500000e-02,2.027328282535676252e+01
5.763244628906250000e-02,1.475379368619894116e+01
4.310607910156250000e-02,1.103507205811808412e+01
7.350158691406250000e-02,1.881626269166542187e+01
6.242370605468750000e-02,1.598034682823401376e+01
6.146240234375000000e-02,1.573425495578748823e+01
6.106567382812500000e-02,1.562878743900363609e+01
6.108093261718750000e-02,1.563659945084838832e+01
6.533813476562500000e-02,1.672643488596871819e+01
6.942749023437500000e-02,1.777330189891585022e+01
5.235290527343750000e-02,1.340224149784182295e+01
6.605529785156250000e-02,1.691002723525422624e+01
6.463623046875000000e-02,1.654674875688078473e+01
6.539916992187500000e-02,1.674205976675897389e+01
7.006835937500000000e-02,1.793736314721354219e+01
6.585693359375000000e-02,1.685924637268589876e+01
6.642150878906250000e-02,1.700377651999576045e+01
6.005859375000000000e-02,1.537488269761160709e+01
5.212402343750000000e-02,1.334364819487836584e+01
7.104492187500000000e-02,1.818736123985763342e+01
7.127380371093750000e-02,1.824595454282108875e+01
6.939697265625000000e-02,1.776548945852072947e+01
7.040405273437500000e-02,1.802329999155994145e+01
7.328796386718750000e-02,1.876157560889954112e+01
4.898071289062500000e-02,1.253896683418018831e+01
7.019042968750000000e-02,1.796861290879405360e+01
6.803894042968750000e-02,1.741783586093755076e+01
7.267761230468750000e-02,1.860532680099698410e+01
