white,black
1.314100000000000000e+04,1.575900000000000000e+04
2.042699999999999636e+04,1.720900000000000364e+04
2.335600000000000000e+04,1.506000000000000000e+04
2.219600000000000000e+04,2.360000000000000000e+04
2.524600000000000000e+04,3.045000000000000000e+04
2.282700000000000000e+04,1.403700000000000000e+04
1.905399999999999636e+04,1.704600000000000364e+04
1.649800000000000000e+04,1.590200000000000000e+04
1.497300000000000000e+04,1.127100000000000000e+04
1.796299999999999636e+04,2.045300000000000364e+04
1.932999999999999318e+03,3.266300000000000000e+04
1.794500000000000000e+04,1.303100000000000000e+04
1.956500000000000000e+04,1.211900000000000000e+04
2.895900000000000000e+04,1.944100000000000000e+04
1.926200000000000000e+04,1.386200000000000000e+04
2.274200000000000000e+04,1.806200000000000000e+04
1.952399999999999636e+04,4.001200000000000000e+04
1.829599999999999636e+04,1.630000000000000364e+04
2.220900000000000000e+04,1.465500000000000000e+04
1.501699999999999818e+04,1.058300000000000182e+04
2.343100000000000000e+04,1.983300000000000000e+04
1.966500000000000000e+04,1.493100000000000000e+04
2.726600000000000000e+04,1.193800000000000000e+04
2.445100000000000000e+04,3.314900000000000000e+04
2.102100000000000000e+04,2.477500000000000000e+04
2.470900000000000000e+04,3.098700000000000000e+04
2.475800000000000000e+04,2.276600000000000000e+04
8.802000000000000000e+03,1.553400000000000000e+04
7.971999999999998181e+03,3.529200000000000000e+04
9.433999999999996362e+03,4.164200000000000000e+04
2.649300000000000000e+04,1.845100000000000000e+04
1.587600000000000000e+04,1.302400000000000000e+04
1.744300000000000000e+04,9.453000000000000000e+03
1.865600000000000000e+04,1.446800000000000000e+04
1.736300000000000000e+04,1.291300000000000000e+04
1.407599999999999636e+04,4.644000000000000000e+04
2.063400000000000000e+04,1.623000000000000000e+04
1.912500000000000000e+04,1.115100000000000000e+04
1.275100000000000000e+04,1.414500000000000000e+04
1.548400000000000000e+04,1.207200000000000000e+04
1.999500000000000000e+04,2.928900000000000000e+04
3.847500000000000000e+04,3.660100000000000000e+04
2.180100000000000000e+04,3.389500000000000000e+04
1.323400000000000000e+04,1.048200000000000000e+04
3.324099999999999272e+04,6.661500000000000000e+04
1.496600000000000000e+04,9.370000000000000000e+03
1.831600000000000000e+04,1.778400000000000000e+04
1.670100000000000000e+04,9.543000000000000000e+03
2.937100000000000000e+04,2.352900000000000000e+04
1.654599999999999636e+04,1.035000000000000364e+04
2.350199999999999636e+04,1.811400000000000364e+04
1.494899999999999636e+04,8.155000000000003638e+03
2.482200000000000000e+04,1.844200000000000000e+04
2.230900000000000000e+04,2.348700000000000000e+04
1.702400000000000000e+04,1.325200000000000000e+04
1.516999999999999545e+03,4.688300000000000000e+04
2.231300000000000000e+04,1.768700000000000000e+04
3.207600000000000000e+04,2.844000000000000000e+04
1.094699999999999636e+04,2.905300000000000364e+04
1.546700000000000000e+04,1.912900000000000000e+04
3.189999999999999636e+04,3.570000000000000000e+04
1.319400000000000000e+04,1.177000000000000000e+04
1.717199999999999636e+04,2.046400000000000364e+04
1.670299999999999636e+04,1.288100000000000364e+04
1.696400000000000000e+04,8.000000000000000000e+03
1.705799999999999636e+04,1.391800000000000364e+04
3.615300000000000000e+04,2.634700000000000000e+04
3.831700000000000000e+04,3.785900000000000000e+04
2.701200000000000000e+04,1.625200000000000000e+04
3.671999999999999091e+03,4.127200000000000000e+04
1.979200000000000000e+04,1.189200000000000000e+04
1.885700000000000000e+04,8.699000000000000000e+03
2.366400000000000000e+04,1.320000000000000000e+04
1.625900000000000000e+04,8.705000000000000000e+03
3.746500000000000000e+04,2.909900000000000000e+04
1.667500000000000000e+04,1.154900000000000000e+04
2.593000000000000000e+04,1.817000000000000000e+04
1.921300000000000000e+04,1.538300000000000000e+04
3.185300000000000000e+04,2.479100000000000000e+04
2.506199999999999636e+04,3.063400000000000364e+04
1.925400000000000000e+04,1.172200000000000000e+04
1.865000000000000000e+04,1.093400000000000000e+04
1.463300000000000000e+04,9.703000000000000000e+03
1.967899999999999636e+04,3.322100000000000000e+04
4.508400000000000000e+04,5.731600000000000000e+04
1.839999999999999636e+04,1.545600000000000364e+04
1.981299999999999636e+04,2.262300000000000364e+04
1.981900000000000000e+04,9.765000000000000000e+03
1.694900000000000000e+04,1.127500000000000000e+04
1.766300000000000000e+04,1.261300000000000000e+04
1.893400000000000000e+04,1.204200000000000000e+04
2.967900000000000000e+04,2.792100000000000000e+04
2.385399999999999636e+04,2.367000000000000364e+04
1.917800000000000000e+04,1.322200000000000000e+04
2.073500000000000000e+04,1.238900000000000000e+04
2.617800000000000000e+04,2.951800000000000000e+04
1.761500000000000000e+04,2.818100000000000000e+04
3.205800000000000000e+04,5.204200000000000000e+04
2.299300000000000000e+04,1.013100000000000000e+04
3.226699999999999636e+04,6.632900000000000000e+04
1.604999999999999818e+04,1.492600000000000182e+04
1.661800000000000000e+04,1.296600000000000000e+04
