Mean_R, SD_R, Mean_G, SD_G, Mean_B, SD_B, Mean_C, SD_C, Mean_M, SD_M, Mean_Y, SD_Y, Mean_K, SD_K
8.780285332144448773e+01,8.835370031461113882e+00,4.085644226482389740e+01,8.462104410887100414e+00,9.597280427998217078e+01,8.234501676512667956e+00,2.173607868533307297e+01,1.232343339756408085e+01,1.474404879800497383e+02,1.276016938469999040e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.590271957200178292e+02,8.234501676512666180e+00
6.423262699564585887e+01,7.242900988170289267e+00,2.609666182873730023e+01,4.845994309220925444e+00,7.660092888243831055e+01,6.919217826789739512e+00,4.088903164499747334e+01,1.840180180221253892e+01,1.686510576021715906e+02,8.357588699081828665e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.783990711175616752e+02,6.919217826789740400e+00
5.873959868836677600e+01,1.176602208825520179e+01,2.438991005084082886e+01,5.833936725746688978e+00,7.233329322222556357e+01,1.009159705144502261e+01,4.912518321574287938e+01,2.048304793436459548e+01,1.699039081499475117e+02,9.622299557275031390e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.826667067777744364e+02,1.009159705144502261e+01
6.106724922070621631e+01,7.095140877388250722e+00,2.494567939087331965e+01,6.232712848209386536e+00,7.563058919719965445e+01,6.717945749983913473e+00,4.918473147925801214e+01,1.424598801711317542e+01,1.718376653296688232e+02,1.270495247020931906e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.793694108028003598e+02,6.717945749983915249e+00
5.997664969119081491e+01,5.573273645884963656e+00,2.433356810055260766e+01,5.259807700939902908e+00,7.468268501462780762e+01,6.275687211771398211e+00,5.000407796536525495e+01,1.216960008238225299e+01,1.726455567643475320e+02,9.969964735273464385e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.803173149853722066e+02,6.275687211771399987e+00
6.846751853296918000e+01,9.826738307589579335e+00,2.792855052672649308e+01,5.120401339463326984e+00,7.992679477175185809e+01,8.291382922779620301e+00,3.723976447549888036e+01,1.428293112807522824e+01,1.664730313428443083e+02,8.134798634070019574e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.750732052282481561e+02,8.291382922779620301e+00
6.943193884051815701e+01,8.892164863790501528e+00,2.848592057761732832e+01,5.918823637346340760e+00,8.158899978764068806e+01,7.505217979409657403e+00,3.832016241160278014e+01,1.560061565311235654e+01,1.667836654961231488e+02,1.010569622028085668e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.734110002123593119e+02,7.505217979409655626e+00
7.263050144300144950e+01,7.671577363456905552e+00,3.337932900432900141e+01,6.299741043257450990e+00,8.331268037518037772e+01,7.087775136091893913e+00,3.220233356157259408e+01,1.993079854882364543e+01,1.535722858225608718e+02,1.087968389313308037e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.716873196248196223e+02,7.087775136091891248e+00
6.692665588076677352e+01,8.783958616126913199e+00,2.653051919399911895e+01,5.810730209413440761e+00,7.799338137961464668e+01,7.221708035184287944e+00,3.669850458579724517e+01,1.290213295582445951e+01,1.691128370490951625e+02,9.934931583883940931e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.770066186203853533e+02,7.221708035184286167e+00
6.232035538189599322e+01,7.284276899404559913e+00,2.550497720718206196e+01,5.361167226548553266e+00,7.665587496511302845e+01,5.842197840424161015e+00,4.781567594486190131e+01,1.661401420051644706e+01,1.708359841140052424e+02,1.067556774128358121e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.783441250348869573e+02,5.842197840424161015e+00
6.353793183940242528e+01,6.796715374873670612e+00,2.635393323996265025e+01,6.967128010753941503e+00,7.593055555555555713e+01,8.140332839569710544e+00,4.044070388112879044e+01,2.225626521711173567e+01,1.676219304047848482e+02,1.334726892378584040e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.790694444444444571e+02,8.140332839569714096e+00
6.142613928608167839e+01,8.150372946024292631e+00,2.512920481431951458e+01,5.991607808817180469e+00,7.580763295957206083e+01,7.663469172689699960e+00,4.841182204356807972e+01,1.770536366467753808e+01,1.714115660017065750e+02,1.081035579639146782e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.791923670404279392e+02,7.663469172689700848e+00
6.956135226374888703e+01,6.826795124998049857e+00,3.040491296956927769e+01,6.891863899633885460e+00,8.086027246390690948e+01,6.802876821610124303e+00,3.509036017656357842e+01,1.909992953851331521e+01,1.600487462244833239e+02,1.274806815072027355e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.741397275360930905e+02,6.802876821610119862e+00
5.761839713577526823e+01,7.434110666157446090e+00,2.273533461856237992e+01,4.946707357323363752e+00,7.063420545304323639e+01,7.722357026184435647e+00,4.660664688703535319e+01,1.921224766359042846e+01,1.736508433362866128e+02,8.725111250530259710e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.843657945469567494e+02,7.722357026184435647e+00
6.590747711088503991e+01,1.024105371152374744e+01,2.648423194303153494e+01,5.519115546367702407e+00,7.822400813835199074e+01,7.641142147236734239e+00,4.101592727936927218e+01,1.743199003353551291e+01,1.694603346973475766e+02,9.162832175981280969e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.767759918616480093e+02,7.641142147236734239e+00
5.911387824606215702e+01,9.129740732610683196e+00,2.492085994040017027e+01,7.618857759267289254e+00,6.906879523201362758e+01,9.076114515589143394e+00,3.659290307838088552e+01,1.775126373401365854e+01,1.644336965120463390e+02,1.397609239528360803e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.859312047679863724e+02,9.076114515589143394e+00
6.205152591194656253e+01,5.422938421575642209e+00,2.164398698815524824e+01,5.570800384733970212e+00,6.973055052022547784e+01,6.319262888342828788e+00,2.759145753861349704e+01,1.448665847774677218e+01,1.767513242594957887e+02,1.170236305365557961e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.852694494797745222e+02,6.319262888342831452e+00
6.706668889629877128e+01,6.933992175465003349e+00,2.648355007224630597e+01,5.118337485578922319e+00,7.993647882627541890e+01,6.387449466477879589e+00,4.101876328066091304e+01,1.429194964371721355e+01,1.711494414409392562e+02,8.960991385109698726e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.750635211737245811e+02,6.387449466477873372e+00
