Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
2.370870815928817876e+00,2.566492610757951098e+00,3.214538673354612115e+02,8.250089752160279204e+02,8.000000000000000000e+00,5.001000000000000000e+03,2.985000000000000000e+03,3.387266966728828876e+00,1.014874935417713075e+01,3.375922077634346863e+01,4.191203891242872714e+01,1.576233017037900254e+03,1.334942996407199018e+02,-3.099888559793589593e+01
1.050319841780568142e+00,1.775419470244162135e+00,8.673256256438719447e+02,4.885187079336209877e+02,7.000000000000000000e+00,8.052000000000000000e+03,2.736000000000000000e+03,1.706428015571494761e-01,2.261542955409836814e-03,7.885186680773656470e-06,2.726501222160694453e-04,-4.219816538140380013e-09,7.540792934110208162e-06,1.191689521491369400e-08
9.974132489384517353e-01,2.247436290799896597e+00,7.887953547774928893e+02,3.509756240951099926e+02,7.000000000000000000e+00,6.526000000000000000e+03,2.686000000000000000e+03,1.777259114362734205e-01,4.093691052815306812e-03,2.001810630101296523e-06,2.094564329785524883e-04,-4.283769241229088554e-09,-1.321364699694692927e-05,-2.109587435014427478e-10
6.872328477262499291e+00,5.218859711064711249e+00,5.101301552541567617e+02,2.662297714655104755e+03,4.000000000000000000e+01,8.825000000000000000e+03,1.086500000000000000e+04,3.501327821951301100e+00,8.782863069877851814e+00,2.219744684868757645e+01,4.232611310862141352e+01,1.295367974739033116e+03,1.253878230326957635e+02,-7.205979324192844615e+01
1.138754772793070691e+00,1.215463807595917656e+00,5.185668733600682572e+02,6.302992663873385482e+02,1.200000000000000000e+01,6.890000000000000000e+03,2.698000000000000000e+03,1.863230155881431260e-01,4.261115159960652795e-04,1.084500205521744440e-04,2.272475394703359769e-03,-6.022955452176902991e-07,3.682488840521678174e-05,-9.539095791736114775e-07
3.996741571081950273e+00,1.386957446642614888e+00,9.650048309472354049e+02,6.957710442257667864e+02,1.900000000000000000e+01,5.763000000000000000e+03,6.522000000000000000e+03,2.913698462570980530e-01,2.462201090135459226e-03,2.224666943266358259e-05,3.236939288439130528e-03,-5.031036178533055340e-07,1.605102601430082022e-04,-7.080982374731450919e-07
8.636699699549450493e-01,1.893776408481739892e+00,4.302909397598645569e+02,2.272131693227888718e+02,5.000000000000000000e+00,3.910000000000000000e+03,1.298000000000000000e+03,3.914394834549533853e-01,5.052007699921873263e-02,1.404567431944906200e-02,6.930704179863034220e-02,2.030320109366238676e-03,1.556419639840203768e-02,7.441788630780628647e-04
1.595848785283510152e+00,3.756385721792137478e+00,5.727600553505421885e+02,2.151507693931650920e+03,2.300000000000000000e+01,1.312300000000000000e+04,6.777000000000000000e+03,2.420503731863596630e-01,1.661753985611178625e-02,8.652748868879811886e-03,9.556202175703203475e-03,6.931884180223934111e-05,9.656035739605149573e-04,-5.240225026361550604e-05
5.354773921873302811e+00,1.451191478877015273e+00,1.432915113917460076e+03,9.874059590167258875e+02,7.400000000000000000e+01,1.140400000000000000e+04,9.132000000000000000e+03,2.122460342764113106e-01,1.525526134456218433e-03,1.917966182100069947e-04,3.260269014138760495e-05,1.658814445985016014e-09,6.226428457776017286e-07,-1.973565510932380921e-09
9.108833732307065612e-01,1.100978235957968954e+00,5.477901339038928654e+02,6.031050153006875689e+02,3.000000000000000000e+00,7.196000000000000000e+03,2.290000000000000000e+03,1.605386391937543289e-01,6.230928736417216051e-05,4.159879039985120982e-06,6.326964479587114947e-05,-1.019055402933874778e-09,1.902420682648021389e-07,1.229006338975784459e-10
1.016751998070753560e+00,1.198814261359193445e+00,6.681974546321091566e+02,5.573819699763324707e+02,5.000000000000000000e+00,7.570000000000000000e+03,2.112000000000000000e+03,1.741513344619521342e-01,2.961422064730088273e-04,4.286697057253369185e-05,1.402956181959389087e-03,-2.089324599748218750e-07,1.536244623583222742e-05,2.733512348476235663e-07
2.917238300548083973e+00,2.512426051723748888e+00,1.064327806480236632e+03,4.236255255154724182e+02,2.900000000000000000e+01,6.738000000000000000e+03,3.348000000000000000e+03,3.494604782861863601e+00,1.039789806864205701e+01,3.236977819514171983e+01,4.402400305247665813e+01,1.661830805232642888e+03,1.419321415996013229e+02,1.485546251345454039e+01
2.742662439792729945e+00,2.605394262625375656e+00,9.913105681120659938e+02,3.804838992441599999e+02,1.400000000000000000e+01,4.973000000000000000e+03,6.339000000000000000e+03,3.391519939213269441e-01,3.465370224021128986e-02,3.202207446908592048e-03,2.190755794211865504e-02,1.434933780202679642e-04,4.061086865035946729e-03,1.143623181689084565e-04
1.065416125326996921e+00,1.680972674598723460e+00,3.596377247095982739e+02,6.045411879916928228e+02,5.000000000000000000e+00,5.731000000000000000e+03,2.365000000000000000e+03,1.788998549962805273e-01,2.769944621261184303e-03,3.851292973606876193e-04,1.606881386195051090e-03,1.262921001739176073e-06,7.906352514941448540e-05,5.441989901603934756e-08
1.049887999702318053e+00,1.213261257494239853e+00,2.538314457919768756e+03,2.092141690209554781e+03,1.400000000000000000e+01,2.866800000000000000e+04,9.120000000000000000e+03,1.673985840868524866e-01,1.830812008752022457e-04,3.912639160195469827e-05,6.079874717215881606e-04,-9.206307160062895992e-08,-5.834307509689806493e-07,-1.782490528534871930e-08
5.917721520026095305e+00,2.282647094294301571e+00,5.692955156833729689e+02,1.299500754669427351e+03,7.500000000000000000e+01,7.324000000000000000e+03,8.244000000000000000e+03,2.809150888730760354e-01,1.185415393595854079e-02,2.082791789926978498e-03,4.869869746627194726e-03,1.227882617859083508e-05,2.990168374440666053e-04,9.475035160169128319e-06
2.059807331800660890e+00,1.860207433158040047e+00,4.729923097970157642e+02,8.798638105109990875e+02,1.800000000000000000e+01,6.880000000000000000e+03,3.110000000000000000e+03,3.676197933009854424e+00,1.185912895497568798e+01,3.978772432972987616e+01,5.124974461158349470e+01,2.314231579935500122e+03,1.764784297352416615e+02,-1.142549200366192963e+01
2.210412619757569530e+00,8.742635066421129864e+00,1.291029858454631949e+02,1.128700291232217296e+03,2.000000000000000000e+01,3.527000000000000000e+03,6.119000000000000000e+03,1.008835404373193079e+00,1.472915597118061026e-01,5.140862926937943278e-02,7.509021915600969654e-01,-5.825913307367508454e-02,2.846335323590565847e-01,-1.355442733995453342e-01
8.980942576510108077e-01,1.359570277321816567e+00,5.636127208461565488e+02,4.145521053581747424e+02,1.000000000000000000e+00,6.036000000000000000e+03,1.954000000000000000e+03,1.630430369556226944e-01,5.849829575939669620e-04,5.769860380013326661e-05,1.118408500293767069e-04,1.802733375164972362e-09,-1.114401148796080112e-06,8.801560241763439658e-09
8.476110023061346199e-01,1.150045895174771848e+00,3.960940491109458321e+02,3.444158626823772238e+02,3.000000000000000000e+00,4.627000000000000000e+03,1.456000000000000000e+03,1.714312228831873508e-01,3.836211695924063536e-05,9.305243665717262175e-06,1.174525906203756614e-03,1.061427685993198345e-07,2.516141157411335761e-06,-6.173114339502531733e-08
2.104021516990603580e+00,2.923493702506219538e+00,2.837882834915474177e+02,8.296532596325886288e+02,1.500000000000000000e+01,4.194000000000000000e+03,3.663000000000000000e+03,1.258114797218084391e+00,8.111431292112856184e-01,5.547202554188891410e-01,1.990673191932889274e+00,2.080455747153450385e+00,1.792099778751204964e+00,-2.183340873710395424e-01
1.011366400923916498e+00,1.428487126580585187e+00,3.870944304463367871e+02,5.529594106636358219e+02,8.000000000000000000e+00,5.736000000000000000e+03,1.554000000000000000e+03,1.647308433335503697e-01,8.594206402400118936e-04,7.005296246162026196e-05,8.403605200165553809e-05,-4.890977060439587490e-09,1.855502497049713545e-06,-4.201487621959654028e-09
1.201971804600077798e+00,2.347465995744256073e+00,4.678937074812462811e+02,1.098364567934935621e+03,1.700000000000000000e+01,8.772000000000000000e+03,4.436000000000000000e+03,4.713938367478833769e-01,5.715521418106079415e-02,1.085909285279666736e-02,1.046450131959101582e-01,2.575248731631656334e-03,2.497932060994617273e-02,-2.410764037069322140e-03
9.096029712929479816e-01,1.278016548096855054e+00,5.067067940223065534e+02,6.475796677936124297e+02,1.700000000000000000e+01,7.156000000000000000e+03,3.029000000000000000e+03,1.613657918771582711e-01,3.867471565016942559e-04,1.747309176076322011e-05,7.441930201846468429e-06,5.134701196380687676e-11,-1.949872956730835107e-08,6.756510607883089195e-11
4.767263575590150460e+00,1.927955716822388643e+00,1.239239392619674163e+03,6.427737845878324379e+02,2.600000000000000000e+01,5.291000000000000000e+03,8.721000000000000000e+03,3.597024165537162643e-01,1.322983977586803840e-02,1.248196287203400413e-03,1.934617896945582281e-03,3.137696627760426143e-07,-8.780973964229431023e-05,2.989894401557052353e-06
2.404501662262797712e+00,1.360828396082873981e+00,3.727334898368172844e+02,5.072263171410082805e+02,2.200000000000000000e+01,4.313000000000000000e+03,1.793000000000000000e+03,9.138372950105964065e+00,7.982664074456023684e+01,7.145631471655489122e+02,7.798654546942746038e+02,5.821695321785141714e+05,6.967731417041127315e+03,-7.482758705762098543e+02
8.868256847802594711e-01,1.186100923010576125e+00,2.927729023798192429e+02,3.472582097451889354e+02,4.000000000000000000e+00,3.995000000000000000e+03,1.255000000000000000e+03,1.610318435473010734e-01,1.920034286228232401e-04,1.930914688286808674e-06,9.004639096225336013e-05,-7.200170870880446817e-10,4.588776524197664433e-07,9.441345482102848627e-10
5.578876690247469128e+00,4.061030159907788040e+00,2.015436210959453092e+03,4.962869349892286550e+02,3.200000000000000000e+01,7.333000000000000000e+03,8.291000000000000000e+03,2.898095444856360725e+00,6.849023556448426753e+00,2.029211481149369689e+01,2.868329166487088244e+01,6.912303841003461002e+02,7.495082687810979394e+01,3.266281625774365693e+01
9.057716211294353226e-01,1.063976150497398798e+00,4.256121769893273381e+02,4.528412056779220620e+02,4.000000000000000000e+00,5.491000000000000000e+03,1.730000000000000000e+03,2.046591853936318706e-01,2.040980381495688303e-03,2.171354777699749231e-04,5.960345042086886633e-03,6.391140380357710526e-06,2.682365731709344188e-04,-2.265123963195382469e-06
9.393414069704071334e-01,1.628590611306137248e+00,7.152370941054773539e+02,1.164828416318064683e+03,5.000000000000000000e+00,1.079700000000000000e+04,6.143000000000000000e+03,1.891199463596602848e-01,1.557862203664383237e-03,1.647542774643389902e-03,2.230612680720104289e-03,-1.402345369003760446e-06,3.755792045403855682e-05,-4.039681520660639464e-06
8.948205236522915884e-01,1.069295717657689604e+00,3.836927273704956747e+02,3.588275170604639470e+02,9.000000000000000000e+00,4.623000000000000000e+03,1.460000000000000000e+03,1.614549805025443097e-01,3.744400872849899180e-05,3.105895525757795437e-05,8.379264715003164243e-05,-4.268338726850510330e-09,4.658487274628063553e-07,2.325132301934876496e-10
8.328323118824096927e-01,1.270750813326776640e+00,5.106495356271939841e+02,6.489083127231974686e+02,6.000000000000000000e+00,7.226000000000000000e+03,2.158000000000000000e+03,1.609796829589024703e-01,3.611087442165665864e-04,4.623514659936268497e-06,5.375004690901495370e-05,4.206408240862726809e-10,-1.373737157817272314e-07,-7.355510883595287964e-10
3.491634725887910573e+00,1.956386735027128676e+00,3.855256557219958609e+02,7.542372788671483477e+02,1.600000000000000000e+01,4.136000000000000000e+03,3.025000000000000000e+03,4.678496044535179088e+00,1.888249455859495995e+01,7.882191850953067558e+01,1.058131669233690388e+02,9.663389504971652059e+03,4.597537648159668606e+02,-3.926246605578398885e+01
