Mean_P, SD_P
1.761474609375000000e-01,4.509340596067794849e+01
2.214965820312500000e-01,5.670269238783792076e+01
1.231689453125000000e-01,3.153100943473599926e+01
2.055969238281250000e-01,5.263241094197631753e+01
2.097625732421875000e-01,5.369880905591124787e+01
1.689300537109375000e-01,4.324576380723020463e+01
1.591186523437500000e-01,4.073406422019659345e+01
2.220916748046875000e-01,5.685503497554294228e+01
2.154083251953125000e-01,5.514411052900994292e+01
2.132568359375000000e-01,5.459333348115337969e+01
2.002563476562500000e-01,5.126523387282893651e+01
1.923370361328125000e-01,4.923790559029326630e+01
1.719055175781250000e-01,4.400747674575517010e+01
2.022705078125000000e-01,5.178085493890734625e+01
2.213134765625000000e-01,5.665581774546713234e+01
1.979217529296875000e-01,5.066758218260163460e+01
1.627044677734375000e-01,4.165202596662413725e+01
2.139434814453125000e-01,5.476911339004377766e+01
1.647491455078125000e-01,4.217545947309771037e+01
1.893768310546875000e-01,4.848009887196585765e+01
1.819152832031250000e-01,4.656995719535714073e+01
1.897430419921875000e-01,4.857384815670741318e+01
2.451477050781250000e-01,6.275733369406201234e+01
2.292022705078125000e-01,5.867533358760772444e+01
2.004852294921875000e-01,5.132382717579241671e+01
2.194671630859375000e-01,5.618316510156190446e+01
2.226257324218750000e-01,5.699175268245765835e+01
2.044982910156250000e-01,5.235116308775169358e+01
1.893157958984375000e-01,4.846447399117563748e+01
1.830596923828125000e-01,4.686292371017443514e+01
2.303009033203125000e-01,5.895658144183231997e+01
1.761169433593750000e-01,4.508559352028283485e+01
1.897125244140625000e-01,4.856603571631224980e+01
1.894531250000000000e-01,4.849962997295368439e+01
2.203521728515625000e-01,5.640972587302062635e+01
1.713256835937500000e-01,4.385904037824773383e+01
2.025299072265625000e-01,5.184726068226597562e+01
1.872406005859375000e-01,4.793322804430689388e+01
1.977844238281250000e-01,5.063242620082358769e+01
2.407226562500000000e-01,6.162452983676847396e+01
1.983947753906250000e-01,5.078867500872615892e+01
2.240753173828125000e-01,5.736284360122625969e+01
2.776794433593750000e-01,7.108539515526830144e+01
2.211608886718750000e-01,5.661675554349152151e+01
2.475280761718750000e-01,6.336670404488198471e+01
2.352142333984375000e-01,6.021438434544791818e+01
2.254180908203125000e-01,5.770659097861186382e+01
2.035827636718750000e-01,5.211678987589787937e+01
2.360076904296875000e-01,6.041750779572119256e+01
2.330780029296875000e-01,5.966751351778891888e+01
1.994323730468750000e-01,5.105429798216052717e+01
1.790161132812500000e-01,4.582777535781995226e+01
2.195281982421875000e-01,5.619878998235216017e+01
